,List,Markers
116,AT2 proliferating,AMHR2
117,AT2 proliferating,LINC01122
118,AT2 proliferating,RP11-817J15.2
119,AT2 proliferating,SOX10
120,Adventitial fibroblasts,DCN
121,Adventitial fibroblasts,SFTPC
122,Adventitial fibroblasts,MT2A
123,Adventitial fibroblasts,FIBCD1
124,Adventitial fibroblasts,NTNG2
125,Adventitial fibroblasts,CFD
126,Adventitial fibroblasts,IGFBP6
127,Adventitial fibroblasts,LUM
128,Adventitial fibroblasts,GPRC5A
129,Adventitial fibroblasts,IGFBP4
130,Adventitial fibroblasts,TIMP1
131,Adventitial fibroblasts,COL24A1
132,Adventitial fibroblasts,RP11-817J15.2
133,Adventitial fibroblasts,CLEC9A
134,Adventitial fibroblasts,HOXD9
135,Adventitial fibroblasts,HOXA9
136,Adventitial fibroblasts,CTD-2547H18.1
137,Adventitial fibroblasts,SH2D6
138,Adventitial fibroblasts,SPIC
139,Adventitial fibroblasts,APOD
140,Adventitial fibroblasts,ADH1B
141,Adventitial fibroblasts,KCNN2
142,Adventitial fibroblasts,MGST1
143,Adventitial fibroblasts,TRH
144,Adventitial fibroblasts,ADCYAP1
145,Adventitial fibroblasts,VIM
146,Adventitial fibroblasts,SEZ6L
147,Adventitial fibroblasts,PAEP
148,Adventitial fibroblasts,ACTA1
149,Adventitial fibroblasts,IFNG-AS1
150,Alveolar Mph CCL3+,MT2A
151,Alveolar Mph CCL3+,HLA-DRB1
152,Alveolar Mph CCL3+,C1QC
153,Alveolar Mph CCL3+,SOD2
154,Alveolar Mph CCL3+,CCL4L2
155,Alveolar Mph CCL3+,RPS4Y1
156,Alveolar Mph CCL3+,MT1E
157,Alveolar Mph CCL3+,CCL4
158,Alveolar Mph CCL3+,GREM2
159,Alveolar Mph CCL3+,BRINP3
160,Alveolar Mph CCL3+,SNX10
161,Alveolar Mph CCL3+,TYRP1
162,Alveolar Mph CCL3+,VSIG4
163,Alveolar Mph CCL3+,STOM
164,Alveolar Mph CCL3+,RP11-826N14.8
165,Alveolar Mph CCL3+,MT1X
166,Alveolar Mph CCL3+,SIGLEC6
167,Alveolar Mph CCL3+,GLUL
168,Alveolar Mph CCL3+,IL7R
169,Alveolar Mph CCL3+,CCL11
170,Alveolar Mph CCL3+,PAEP
171,Alveolar Mph CCL3+,TFF2
172,Alveolar Mph CCL3+,EPGN
173,Alveolar Mph CCL3+,C4B
174,Alveolar Mph CCL3+,HLA-DQA2
175,Alveolar Mph CCL3+,NFIA-AS2
176,Alveolar Mph CCL3+,S100A8
177,Alveolar Mph CCL3+,SYT10
178,Alveolar Mph CCL3+,SMPX
179,Alveolar Mph CCL3+,KCNA5
180,Alveolar Mph MT-positive,MT1X
181,Alveolar Mph MT-positive,MT2A
182,Alveolar Mph MT-positive,HMOX1
183,Alveolar Mph MT-positive,CCL18
184,Alveolar Mph MT-positive,CCL11
185,Alveolar Mph MT-positive,DTX1
186,Alveolar Mph MT-positive,GPR25
187,Alveolar Mph MT-positive,VEGFD
188,Alveolar Mph MT-positive,MT1F
189,Alveolar Mph MT-positive,TRGV2
190,Alveolar Mph MT-positive,JPH2
191,Alveolar Mph MT-positive,LINC00636
192,Alveolar Mph MT-positive,NFIA-AS2
193,Alveolar Mph MT-positive,MT1G
194,Alveolar Mph MT-positive,FDCSP
195,Alveolar Mph MT-positive,APLN
196,Alveolar Mph MT-positive,KCNN2
197,Alveolar Mph MT-positive,DLL3
198,Alveolar Mph MT-positive,AVPR1A
199,Alveolar Mph MT-positive,RP11-557H15.4
200,Alveolar Mph MT-positive,SCT
201,Alveolar Mph MT-positive,MT1E
202,Alveolar Mph MT-positive,BRINP3
203,Alveolar Mph MT-positive,TFF2
204,Alveolar Mph MT-positive,KLK14
205,Alveolar Mph MT-positive,KRT1
206,Alveolar Mph MT-positive,RP11-817J15.2
207,Alveolar Mph MT-positive,ADRA2C
208,Alveolar Mph MT-positive,OTC
209,Alveolar Mph MT-positive,HSPB3
210,Alveolar Mph proliferating,CCL11
211,Alveolar Mph proliferating,CDH19
212,Alveolar Mph proliferating,PCLAF
213,Alveolar Mph proliferating,TYMS
214,Alveolar Mph proliferating,KLK14
215,Alveolar Mph proliferating,TFF2
216,Alveolar Mph proliferating,GPR25
217,Alveolar Mph proliferating,BRINP3
218,Alveolar Mph proliferating,PAEP
219,Alveolar Mph proliferating,JPH2
220,Alveolar Mph proliferating,NNAT
221,Alveolar Mph proliferating,LINC02106
222,Alveolar Mph proliferating,LRCOL1
223,Alveolar Mph proliferating,CASQ2
224,Alveolar Mph proliferating,AADACL2
225,Alveolar Mph proliferating,EGFLAM
226,Alveolar Mph proliferating,LRRN4
227,Alveolar Mph proliferating,SLC38A11
228,Alveolar Mph proliferating,KCNN2
229,Alveolar Mph proliferating,GPR182
230,Alveolar Mph proliferating,SYT10
231,Alveolar Mph proliferating,RP11-501J20.5
232,Alveolar Mph proliferating,HPD
233,Alveolar Mph proliferating,ADRA2C
234,Alveolar Mph proliferating,RP11-817J15.2
235,Alveolar Mph proliferating,NFIA-AS2
236,Alveolar Mph proliferating,UBE2C
237,Alveolar Mph proliferating,TYRP1
238,Alveolar Mph proliferating,LHX6
239,Alveolar Mph proliferating,CD207
240,Alveolar fibroblasts,RGCC
241,Alveolar fibroblasts,A2M
242,Alveolar fibroblasts,SIGLEC6
243,Alveolar fibroblasts,TFF2
244,Alveolar fibroblasts,RP11-501J20.5
245,Alveolar fibroblasts,GNAO1
246,Alveolar fibroblasts,GPX3
247,Alveolar fibroblasts,KLK14
248,Alveolar fibroblasts,TRGV2
249,Alveolar fibroblasts,SMR3A
250,Alveolar fibroblasts,OTC
251,Alveolar fibroblasts,CD207
252,Alveolar fibroblasts,KRT1
253,Alveolar fibroblasts,AADACL2
254,Alveolar fibroblasts,CLEC9A
255,Alveolar fibroblasts,GCOM1
256,Alveolar fibroblasts,SEZ6L
257,Alveolar fibroblasts,HSPB3
258,Alveolar fibroblasts,RAB3C
259,Alveolar fibroblasts,GPR25
260,Alveolar fibroblasts,SNORC
261,Alveolar fibroblasts,TRH
262,Alveolar fibroblasts,SOX10
263,Alveolar fibroblasts,CALHM3
264,Alveolar fibroblasts,SPIC
265,Alveolar fibroblasts,CDH19
266,Alveolar fibroblasts,LINC01781
267,Alveolar fibroblasts,IDO2
268,Alveolar fibroblasts,PAEP
269,Alveolar fibroblasts,CCL2
270,Alveolar macrophages,FTH1
271,Alveolar macrophages,FTL
272,Alveolar macrophages,C1QB
273,Alveolar macrophages,FABP4
274,Alveolar macrophages,S100A11
275,Alveolar macrophages,HLA-DRA
276,Alveolar macrophages,C1QA
277,Alveolar macrophages,ALOX5AP
278,Alveolar macrophages,S100A10
279,Alveolar macrophages,NKG7
280,Alveolar macrophages,SCGB3A2
281,Alveolar macrophages,CD74
282,Alveolar macrophages,MT-ND2
283,Alveolar macrophages,CTSD
284,Alveolar macrophages,LYZ
285,Alveolar macrophages,DCN
286,Alveolar macrophages,KCNQ1OT1
287,Alveolar macrophages,RPL26
288,Alveolar macrophages,RND3
289,Alveolar macrophages,APOC1
290,Alveolar macrophages,TYROBP
291,Alveolar macrophages,HLA-DRB5
292,Alveolar macrophages,HLA-DPA1
293,Alveolar macrophages,HLA-DPB1
294,Alveolar macrophages,XIST
295,Alveolar macrophages,CRIP1
296,Alveolar macrophages,MRC1
297,Alveolar macrophages,KRT1
298,Alveolar macrophages,FCN3
299,Alveolar macrophages,ANXA1
300,B cells,HLA-DRA
301,B cells,MS4A1
302,B cells,CD74
303,B cells,TRGV2
304,B cells,ROCR
305,B cells,CDK15
306,B cells,CCL11
307,B cells,CDH19
308,B cells,GPR182
309,B cells,CD79A
310,B cells,GPR25
311,B cells,GCOM1
312,B cells,KCNN2
313,B cells,AADACL2
314,B cells,LINC00636
315,B cells,VEGFD
316,B cells,PAEP
317,B cells,B4GALNT1
318,B cells,BRINP3
319,B cells,COMP
320,B cells,TPSG1
321,B cells,TFF2
322,B cells,MYBPC1
323,B cells,SIGLEC6
324,B cells,CD83
325,B cells,ITPRID1
326,B cells,RP11-322E11.5
327,B cells,AVPR1A
328,B cells,DIO2
329,B cells,IGKC
330,Basal resting,KRT15
331,Basal resting,KRT17
332,Basal resting,RPLP1
333,Basal resting,CLU
334,Basal resting,BCAM
335,Basal resting,CYB5A
336,Basal resting,CDH19
337,Basal resting,RPS4Y1
338,Basal resting,RPL41
339,Basal resting,ALDH3A1
340,Basal resting,ADH1C
341,Basal resting,BST2
342,Basal resting,IFITM1
343,Basal resting,KRT1
344,Basal resting,MPIG6B
345,Basal resting,OTC
346,Basal resting,CLEC4O
347,Basal resting,AVPR1A
348,Basal resting,RPL3
349,Basal resting,ZFP36L2
350,Basal resting,MSMB
351,Basal resting,GREM2
352,Basal resting,CTD-2547H18.1
353,Basal resting,CXCL10
354,Basal resting,FOXS1
355,Basal resting,TEX41
356,Basal resting,CIRBP
357,Basal resting,CASQ2
358,Basal resting,IGFBP2
359,Basal resting,GATA5
360,CD4 T cells,SFTPC
361,CD4 T cells,LCN2
362,CD4 T cells,IL7R
363,CD4 T cells,LTB
364,CD4 T cells,OTC
365,CD4 T cells,MALAT1
366,CD4 T cells,CXCR4
367,CD4 T cells,VIM
368,CD4 T cells,KCNN2
369,CD4 T cells,AVPR1A
370,CD4 T cells,COMP
371,CD4 T cells,TSHZ2
372,CD4 T cells,XIST
373,CD4 T cells,BTG1
374,CD4 T cells,MYOCD
375,CD4 T cells,CDK15
376,CD4 T cells,APLN
377,CD4 T cells,ADRA2C
378,CD4 T cells,B2M
379,CD4 T cells,BRINP3
380,CD4 T cells,CCL11
381,CD4 T cells,RP11-84E17.1
382,CD4 T cells,GPR182
383,CD4 T cells,TEX41
384,CD4 T cells,SLC38A11
385,CD4 T cells,IQGAP3
386,CD4 T cells,ZFP36L2
387,CD4 T cells,KLK14
388,CD4 T cells,TPSG1
389,CD4 T cells,SH2D6
390,CD8 T cells,CCL5
391,CD8 T cells,MALAT1
392,CD8 T cells,NKG7
393,CD8 T cells,TNFSF11
394,CD8 T cells,SCGB1A1
395,CD8 T cells,S100A8
396,CD8 T cells,HLA-DRA
397,CD8 T cells,CD3D
398,CD8 T cells,FABP4
399,CD8 T cells,TMSB4X
400,CD8 T cells,CES1
401,CD8 T cells,CD52
402,CD8 T cells,C1QB
403,CD8 T cells,MT1X
404,CD8 T cells,CCL4
405,CD8 T cells,MSMB
406,CD8 T cells,RPS27
407,CD8 T cells,LINC01705
408,CD8 T cells,GPX3
409,CD8 T cells,B2M
410,CD8 T cells,FABP5
411,CD8 T cells,MT1E
412,CD8 T cells,TRGC2
413,CD8 T cells,CCL11
414,CD8 T cells,SPIC
415,CD8 T cells,RPS19
416,CD8 T cells,MYBPC1
417,CD8 T cells,TPSG1
418,CD8 T cells,NFIA-AS2
419,CD8 T cells,IL32
420,Classical monocytes,S100A8
421,Classical monocytes,S100A9
422,Classical monocytes,LYZ
423,Classical monocytes,TYROBP
424,Classical monocytes,SCGB1A1
425,Classical monocytes,SCGB3A1
426,Classical monocytes,GNLY
427,Classical monocytes,SAT1
428,Classical monocytes,FTL
429,Classical monocytes,S100A12
430,Classical monocytes,NEAT1
431,Classical monocytes,TPSB2
432,Classical monocytes,THBS1
433,Classical monocytes,CCL21
434,Classical monocytes,SFTPC
435,Classical monocytes,S100A4
436,Classical monocytes,SMPX
437,Classical monocytes,SH3BGRL3
438,Classical monocytes,MT-CO3
439,Classical monocytes,CDH19
440,Classical monocytes,HLA-B
441,Classical monocytes,TYRP1
442,Classical monocytes,APLNR
443,Classical monocytes,NKG7
444,Classical monocytes,FOXS1
445,Classical monocytes,IGHG3
446,Classical monocytes,DAB1
447,Classical monocytes,RP11-817J15.2
448,Classical monocytes,CEBPB
449,Classical monocytes,RPS2
450,Club (nasal),WFDC2
451,Club (nasal),PSCA
452,Club (nasal),S100A4
453,Club (nasal),FABP5
454,Club (nasal),SAT1
455,Club (nasal),CSF3
456,Club (nasal),IFI27
457,Club (nasal),SERPINB3
458,Club (nasal),S100A6
459,Club (nasal),ALDH3A1
460,Club (nasal),GPNMB
461,Club (nasal),ID1
462,Club (nasal),IGFBP7
463,Club (nasal),CSRP2
464,Club (nasal),FIBCD1
465,Club (nasal),TPSG1
466,Club (nasal),S100A9
467,Club (nasal),AVPR1A
468,Club (nasal),JUN
469,Club (nasal),SOCS2
470,Club (nasal),MT-CO3
471,Club (nasal),CDH19
472,Club (nasal),KCNN2
473,Club (nasal),GATA5
474,Club (nasal),CD1B
475,Club (nasal),C4B
476,Club (nasal),B4GALNT1
477,Club (nasal),KRT1
478,Club (nasal),C6
479,Club (nasal),CCL11
480,Club (non-nasal),SCGB3A1
481,Club (non-nasal),SCGB1A1
482,Club (non-nasal),SLPI
483,Club (non-nasal),WFDC2
484,Club (non-nasal),TFF3
485,Club (non-nasal),S100P
486,Club (non-nasal),LCN2
487,Club (non-nasal),TYRP1
488,Club (non-nasal),TGM2
489,Club (non-nasal),LINC01705
490,Club (non-nasal),OTC
491,Club (non-nasal),CYP2F1
492,Club (non-nasal),RELN
493,Club (non-nasal),CXCL8
494,Club (non-nasal),GPR25
495,Club (non-nasal),IFNG-AS1
496,Club (non-nasal),MT2A
497,Club (non-nasal),EPGN
498,Club (non-nasal),CRLF2
499,Club (non-nasal),FOXS1
500,Club (non-nasal),AVPR1A
501,Club (non-nasal),MT1F
502,Club (non-nasal),LINC00520
503,Club (non-nasal),RP11-501J20.5
504,Club (non-nasal),EEF1A1
505,Club (non-nasal),TRGV2
506,Club (non-nasal),APLN
507,Club (non-nasal),CDK15
508,Club (non-nasal),CLEC4O
509,Club (non-nasal),SLC34A2
510,DC1,CLEC9A
511,DC1,KCNN2
512,DC1,BRINP3
513,DC1,GPR25
514,DC1,APLN
515,DC1,AADACL2
516,DC1,GPR182
517,DC1,SPIC
518,DC1,HOXD9
519,DC1,OTC
520,DC1,AVPR1A
521,DC1,MYBPC1
522,DC1,AMHR2
523,DC1,RP11-826N14.8
524,DC1,DAB1
525,DC1,KRT1
526,DC1,IDO2
527,DC1,EBF2
528,DC1,LINC00636
529,DC1,TNFSF11
530,DC1,SSUH2
531,DC1,MYOC
532,DC1,ZNF366
533,DC1,RUNDC3B
534,DC1,TCL1A
535,DC1,RELN
536,DC1,PAEP
537,DC1,MSI1
538,DC1,LINC01393
539,DC1,FDCSP
540,DC2,HLA-DPB1
541,DC2,HLA-DRA
542,DC2,HLA-DPA1
543,DC2,HLA-DQA1
544,DC2,HLA-DRB1
545,DC2,LYZ
546,DC2,CD74
547,DC2,TYROBP
548,DC2,CST3
549,DC2,HLA-DQB1
550,DC2,GPX1
551,DC2,OTC
552,DC2,HSPB3
553,DC2,CCL11
554,DC2,CASQ2
555,DC2,CLEC4O
556,DC2,LRCOL1
557,DC2,BTG1
558,DC2,AADACL2
559,DC2,LINC00551
560,DC2,C4B
561,DC2,CDH19
562,DC2,RP11-322E11.5
563,DC2,AVPR1A
564,DC2,MYOC
565,DC2,SLCO1A2
566,DC2,SFRP4
567,DC2,ANKRD1
568,DC2,RP11-817J15.2
569,DC2,MPIG6B
570,Deuterosomal,CDC20B
571,Deuterosomal,CCNO
572,Deuterosomal,CCL11
573,Deuterosomal,TYRP1
574,Deuterosomal,TRGV2
575,Deuterosomal,KCNN2
576,Deuterosomal,MYOC
577,Deuterosomal,GPR25
578,Deuterosomal,SPIC
579,Deuterosomal,OTC
580,Deuterosomal,FIBCD1
581,Deuterosomal,RP11-817J15.2
582,Deuterosomal,APLN
583,Deuterosomal,AVPR1A
584,Deuterosomal,LINC01638
585,Deuterosomal,GPR182
586,Deuterosomal,TPSG1
587,Deuterosomal,CLEC9A
588,Deuterosomal,BMP6
589,Deuterosomal,GATA5
590,Deuterosomal,CTAG2
591,Deuterosomal,MSI1
592,Deuterosomal,JPH2
593,Deuterosomal,GNAO1
594,Deuterosomal,COMP
595,Deuterosomal,HOXD9
596,Deuterosomal,KLK14
597,Deuterosomal,BRINP3
598,Deuterosomal,NTRK1
599,Deuterosomal,SCT
600,EC aerocyte capillary,EDNRB
601,EC aerocyte capillary,EMCN
602,EC aerocyte capillary,HPGD
603,EC aerocyte capillary,IL1RL1
604,EC aerocyte capillary,CCL11
605,EC aerocyte capillary,CD207
606,EC aerocyte capillary,AQP1
607,EC aerocyte capillary,TYRP1
608,EC aerocyte capillary,CDH19
609,EC aerocyte capillary,HSPB3
610,EC aerocyte capillary,MYBPC1
611,EC aerocyte capillary,NUGGC
612,EC aerocyte capillary,AVPR1A
613,EC aerocyte capillary,LINC01705
614,EC aerocyte capillary,TFF2
615,EC aerocyte capillary,NFIA-AS2
616,EC aerocyte capillary,NTRK1
617,EC aerocyte capillary,TRH
618,EC aerocyte capillary,SEZ6L
619,EC aerocyte capillary,TRGV2
620,EC aerocyte capillary,LINC01638
621,EC aerocyte capillary,KRT1
622,EC aerocyte capillary,CTSG
623,EC aerocyte capillary,STXBP5L
624,EC aerocyte capillary,EGFLAM
625,EC aerocyte capillary,RSPO1
626,EC aerocyte capillary,TEX41
627,EC aerocyte capillary,LGALS12
628,EC aerocyte capillary,ADRA2C
629,EC aerocyte capillary,SMTNL2
630,EC arterial,IGFBP3
631,EC arterial,MGP
632,EC arterial,HSPB1
633,EC arterial,TMSB10
634,EC arterial,CD207
635,EC arterial,HSPB3
636,EC arterial,CDK15
637,EC arterial,SIGLEC6
638,EC arterial,SH2D6
639,EC arterial,HSPA1A
640,EC arterial,PLXNC1
641,EC arterial,CXCL12
642,EC arterial,VIM
643,EC arterial,GPR25
644,EC arterial,TRGV2
645,EC arterial,CRLF2
646,EC arterial,SPIC
647,EC arterial,FDCSP
648,EC arterial,MYOC
649,EC arterial,ROCR
650,EC arterial,CALHM3
651,EC arterial,LINC00636
652,EC arterial,CD1B
653,EC arterial,NUGGC
654,EC arterial,SEZ6L
655,EC arterial,DGKB
656,EC arterial,RP11-817J15.2
657,EC arterial,CCN1
658,EC arterial,KCNK12
659,EC arterial,DTX1
660,EC general capillary,FCN3
661,EC general capillary,IFI27
662,EC general capillary,TMSB10
663,EC general capillary,SFTPC
664,EC general capillary,CLDN5
665,EC general capillary,RGCC
666,EC general capillary,IL7R
667,EC general capillary,MT2A
668,EC general capillary,LRRN4
669,EC general capillary,IL32
670,EC general capillary,NTRK1
671,EC general capillary,MYOC
672,EC general capillary,HPD
673,EC general capillary,NUGGC
674,EC general capillary,LINC01638
675,EC general capillary,TYRP1
676,EC general capillary,SPARCL1
677,EC general capillary,SLC2A5
678,EC general capillary,B3GNT6
679,EC general capillary,TRGV2
680,EC general capillary,RSPO1
681,EC general capillary,CACNA1C-AS2
682,EC general capillary,OTC
683,EC general capillary,CDH19
684,EC general capillary,CGREF1
685,EC general capillary,FDCSP
686,EC general capillary,HOXA10
687,EC general capillary,CD207
688,EC general capillary,LINC01393
689,EC general capillary,LINC02812
690,EC venous pulmonary,ACKR1
691,EC venous pulmonary,CLU
692,EC venous pulmonary,IGFBP7
693,EC venous pulmonary,VWF
694,EC venous pulmonary,GPR25
695,EC venous pulmonary,GPX3
696,EC venous pulmonary,CDH19
697,EC venous pulmonary,FOXS1
698,EC venous pulmonary,PRSS23
699,EC venous pulmonary,CPE
700,EC venous pulmonary,CCL11
701,EC venous pulmonary,TNFSF11
702,EC venous pulmonary,C7
703,EC venous pulmonary,SIGLEC6
704,EC venous pulmonary,NTNG2
705,EC venous pulmonary,EBF2
706,EC venous pulmonary,KLK14
707,EC venous pulmonary,UPP2
708,EC venous pulmonary,TRH
709,EC venous pulmonary,CLEC9A
710,EC venous pulmonary,NTRK1
711,EC venous pulmonary,HPD
712,EC venous pulmonary,CRLF2
713,EC venous pulmonary,AADACL2
714,EC venous pulmonary,LINC00636
715,EC venous pulmonary,TRGV2
716,EC venous pulmonary,PTGS1
717,EC venous pulmonary,UPK3A
718,EC venous pulmonary,HSPB3
719,EC venous pulmonary,TIMP1
720,EC venous systemic,SPARCL1
721,EC venous systemic,VIM
722,EC venous systemic,ACKR1
723,EC venous systemic,IGFBP7
724,EC venous systemic,RP11-501J20.5
725,EC venous systemic,ITGA11
726,EC venous systemic,SPIC
727,EC venous systemic,CCL11
728,EC venous systemic,LINC01705
729,EC venous systemic,SIGLEC6
730,EC venous systemic,LAMC3
731,EC venous systemic,BRINP3
732,EC venous systemic,GREM2
733,EC venous systemic,NUGGC
734,EC venous systemic,TFF2
735,EC venous systemic,TRGV2
736,EC venous systemic,SOX10
737,EC venous systemic,CD207
738,EC venous systemic,GATA5
739,EC venous systemic,MYOCD
740,EC venous systemic,ATP1B2
741,EC venous systemic,HLA-DQB1
742,EC venous systemic,SMR3A
743,EC venous systemic,AADACL2
744,EC venous systemic,CD1B
745,EC venous systemic,CALHM3
746,EC venous systemic,B3GNT6
747,EC venous systemic,HSPB3
748,EC venous systemic,CDH19
749,EC venous systemic,KLK14
750,Goblet (bronchial),MUC5B
751,Goblet (bronchial),AGR2
752,Goblet (bronchial),CDH19
753,Goblet (bronchial),SCGB1A1
754,Goblet (bronchial),FDCSP
755,Goblet (bronchial),ANKRD36C
756,Goblet (bronchial),LINC01705
757,Goblet (bronchial),BRINP3
758,Goblet (bronchial),DTX1
759,Goblet (bronchial),LRRN4
760,Goblet (bronchial),OTC
761,Goblet (bronchial),LINC01638
762,Goblet (bronchial),AMHR2
763,Goblet (bronchial),TRGV2
764,Goblet (bronchial),FIBCD1
765,Goblet (bronchial),KRT1
766,Goblet (bronchial),SIGLEC6
767,Goblet (bronchial),CD1B
768,Goblet (bronchial),KCNN2
769,Goblet (bronchial),AADACL2
770,Goblet (bronchial),TEX41
771,Goblet (bronchial),CD207
772,Goblet (bronchial),TYRP1
773,Goblet (bronchial),CTAG2
774,Goblet (bronchial),UPP2
775,Goblet (bronchial),GPR25
776,Goblet (bronchial),GATA5
777,Goblet (bronchial),GCOM1
778,Goblet (bronchial),GREM2
779,Goblet (bronchial),SPIC
780,Goblet (nasal),LYPD2
781,Goblet (nasal),LCN2
782,Goblet (nasal),FTH1
783,Goblet (nasal),MUC5AC
784,Goblet (nasal),WFDC2
785,Goblet (nasal),VMO1
786,Goblet (nasal),MT-CO2
787,Goblet (nasal),S100A4
788,Goblet (nasal),S100A6
789,Goblet (nasal),SCGB3A1
790,Goblet (nasal),C15orf48
791,Goblet (nasal),BPIFB1
792,Goblet (nasal),PI3
793,Goblet (nasal),PIGR
794,Goblet (nasal),CD24
795,Goblet (nasal),RPLP0
796,Goblet (nasal),KRT19
797,Goblet (nasal),MTRNR2L8
798,Goblet (nasal),S100A10
799,Goblet (nasal),GPRC5A
800,Goblet (nasal),TYRP1
801,Goblet (nasal),SCGB3A2
802,Goblet (nasal),MMP10
803,Goblet (nasal),OTC
804,Goblet (nasal),HSPB3
805,Goblet (nasal),LAMB3
806,Goblet (nasal),RP11-501J20.5
807,Goblet (nasal),HBB
808,Goblet (nasal),CCL11
809,Goblet (nasal),CALD1
810,Goblet (subsegmental),SCGB1A1
811,Goblet (subsegmental),FOXS1
812,Goblet (subsegmental),TRGV2
813,Goblet (subsegmental),OTC
814,Goblet (subsegmental),CFD
815,Goblet (subsegmental),TPSG1
816,Goblet (subsegmental),ADRA2C
817,Goblet (subsegmental),TYRP1
818,Goblet (subsegmental),TNFSF11
819,Goblet (subsegmental),CXCR5
820,Goblet (subsegmental),SPIC
821,Goblet (subsegmental),HPD
822,Goblet (subsegmental),GPR182
823,Goblet (subsegmental),SSUH2
824,Goblet (subsegmental),SIGLEC6
825,Goblet (subsegmental),LINC01638
826,Goblet (subsegmental),MUC5B
827,Goblet (subsegmental),LAMC3
828,Goblet (subsegmental),BPIFB1
829,Goblet (subsegmental),LINC01393
830,Goblet (subsegmental),MSMB
831,Goblet (subsegmental),IFNG-AS1
832,Goblet (subsegmental),B4GALNT1
833,Goblet (subsegmental),BRINP3
834,Goblet (subsegmental),HSPB3
835,Goblet (subsegmental),LINC02106
836,Goblet (subsegmental),CDH19
837,Goblet (subsegmental),CTSG
838,Goblet (subsegmental),MSI1
839,Goblet (subsegmental),MYBPC1
840,Hematopoietic stem cells,PRSS57
841,Hematopoietic stem cells,CRHBP
842,Hematopoietic stem cells,DPPA4
843,Hematopoietic stem cells,OTC
844,Hematopoietic stem cells,HPD
845,Hematopoietic stem cells,LINC01705
846,Hematopoietic stem cells,BRINP3
847,Hematopoietic stem cells,HEMGN
848,Hematopoietic stem cells,AADACL2
849,Hematopoietic stem cells,DTX1
850,Hematopoietic stem cells,RSPO1
851,Hematopoietic stem cells,IFNG-AS1
852,Hematopoietic stem cells,GPR182
853,Hematopoietic stem cells,LRCOL1
854,Hematopoietic stem cells,HTR1F
855,Hematopoietic stem cells,SIGLEC6
856,Hematopoietic stem cells,ADRA2C
857,Hematopoietic stem cells,APLN
858,Hematopoietic stem cells,SMPX
